Ethical_Score,Financial_Score,Health_Safety_Score,Recreational_Score,Social_Score,Overall_Score
,,,,,0.0
,,,,,0.0
2.3333333333333335,6.166666666666667,4.333333333333333,2.0,5.166666666666667,120.0
1.8333333333333333,3.1666666666666665,5.5,6.833333333333333,4.0,128.0
2.1666666666666665,3.3333333333333335,2.5,4.666666666666667,5.333333333333333,108.0
2.8333333333333335,2.6666666666666665,3.8333333333333335,4.166666666666667,3.0,99.0
1.6666666666666667,1.6666666666666667,4.333333333333333,1.5,4.0,79.0
1.3333333333333333,2.5,2.3333333333333335,5.166666666666667,5.666666666666667,102.0
2.6666666666666665,4.0,1.8333333333333333,3.3333333333333335,4.5,98.0
1.5,1.8333333333333333,1.1666666666666667,1.8333333333333333,3.8333333333333335,61.0
2.0,2.8333333333333335,4.0,5.0,5.5,116.0
1.3333333333333333,3.1666666666666665,1.5,4.833333333333333,5.0,95.0
2.5,2.0,3.0,5.666666666666667,4.333333333333333,105.0
2.3333333333333335,2.8333333333333335,2.3333333333333335,2.5,3.8333333333333335,83.0
3.0,5.166666666666667,4.833333333333333,4.166666666666667,6.333333333333333,141.0
1.5,2.5,1.6666666666666667,4.5,5.333333333333333,93.0
2.0,2.6666666666666665,2.8333333333333335,6.166666666666667,5.166666666666667,113.0
1.8333333333333333,2.5,4.666666666666667,4.166666666666667,3.5,100.0
2.6666666666666665,2.3333333333333335,3.5,3.0,4.166666666666667,94.0
